model,history,neurons,layers,optimizer,learning_rate,loss,y_log,r2_score,mape,time,epochs
<keras.src.engine.sequential.Sequential object at 0x2e4a98e90>,<keras.src.callbacks.History object at 0x2e4c0e650>,16,2,sgd,0.1,mse,False,-3.565758818592788,1.0,0.803170919418335,31
<keras.src.engine.sequential.Sequential object at 0x2e5b9a9d0>,<keras.src.callbacks.History object at 0x2e5c03a10>,16,2,sgd,0.1,mean_absolute_percentage_error,True,-3.4456425466548346,0.9785890807691872,0.9834022521972656,41
<keras.src.engine.sequential.Sequential object at 0x2e4c1b150>,<keras.src.callbacks.History object at 0x2e71ee310>,16,2,sgd,0.1,mean_absolute_percentage_error,False,-0.28842038215541743,0.3985323777809844,0.9299032688140869,45
<keras.src.engine.sequential.Sequential object at 0x2e5b828d0>,<keras.src.callbacks.History object at 0x2e74ff7d0>,16,2,sgd,0.01,mean_squared_logarithmic_error,True,-3.4555044462780984,0.9804896710476728,3.568303108215332,242
<keras.src.engine.sequential.Sequential object at 0x2e9681190>,<keras.src.callbacks.History object at 0x2e96d2a90>,16,2,sgd,0.01,mean_squared_logarithmic_error,False,0.14978567910033158,0.29339124783132337,7.2701239585876465,566
<keras.src.engine.sequential.Sequential object at 0x2e85d9ed0>,<keras.src.callbacks.History object at 0x2ea342810>,16,2,sgd,0.01,mse,True,-3.4525264444298474,0.9802051729389147,2.0226268768310547,141
<keras.src.engine.sequential.Sequential object at 0x2e8d63dd0>,<keras.src.callbacks.History object at 0x2ea62f150>,16,2,sgd,0.01,mse,False,-3.565758818592788,1.0,0.9014461040496826,31
<keras.src.engine.sequential.Sequential object at 0x2e999bdd0>,<keras.src.callbacks.History object at 0x2eaebe550>,16,2,sgd,0.01,mean_absolute_percentage_error,True,-3.4537590228534754,0.9802593236490194,1.4071810245513916,84
<keras.src.engine.sequential.Sequential object at 0x2eb8dcc50>,<keras.src.callbacks.History object at 0x2ec878310>,16,2,sgd,0.01,mean_absolute_percentage_error,False,0.011476885491448652,0.25558202961537513,1.6659741401672363,105
<keras.src.engine.sequential.Sequential object at 0x2ec821950>,<keras.src.callbacks.History object at 0x2ed002650>,16,2,sgd,0.001,mean_squared_logarithmic_error,True,-3.4545096870898817,0.9798685765900519,14.64004921913147,1258
<keras.src.engine.sequential.Sequential object at 0x2eddf8ad0>,<keras.src.callbacks.History object at 0x2ed83fcd0>,16,2,sgd,0.001,mean_squared_logarithmic_error,False,-0.013043658422494886,0.28671179715785994,25.244314193725586,2229
<keras.src.engine.sequential.Sequential object at 0x2edd429d0>,<keras.src.callbacks.History object at 0x2efe2ea90>,16,2,sgd,0.001,mse,True,-3.454650916286101,0.9803796772412177,6.869408845901489,554
<keras.src.engine.sequential.Sequential object at 0x2f03eff90>,<keras.src.callbacks.History object at 0x2f0bd04d0>,16,2,sgd,0.001,mse,False,-3.565758818592788,1.0,0.7946739196777344,31
<keras.src.engine.sequential.Sequential object at 0x2f0c35210>,<keras.src.callbacks.History object at 0x2f0e0f350>,16,2,sgd,0.001,mean_absolute_percentage_error,True,-3.4511750785414685,0.9799733728938185,2.116934061050415,151
<keras.src.engine.sequential.Sequential object at 0x2ea433dd0>,<keras.src.callbacks.History object at 0x2f1533b10>,16,2,sgd,0.001,mean_absolute_percentage_error,False,-0.24973488589170945,0.32199983609233307,7.027864933013916,564
<keras.src.engine.sequential.Sequential object at 0x2f33bdad0>,<keras.src.callbacks.History object at 0x2f34b2490>,16,3,adam,0.1,mean_squared_logarithmic_error,True,-3.449652726158363,0.9796583857785195,1.7923736572265625,60
<keras.src.engine.sequential.Sequential object at 0x2f1577fd0>,<keras.src.callbacks.History object at 0x2eddeff10>,16,3,adam,0.1,mean_squared_logarithmic_error,False,0.326956458482188,0.25671493311518945,1.1327602863311768,47
<keras.src.engine.sequential.Sequential object at 0x2ede0c090>,<keras.src.callbacks.History object at 0x2ea398550>,16,3,adam,0.1,mse,True,-3.4480009018855053,0.9795916279293372,1.4551610946655273,75
<keras.src.engine.sequential.Sequential object at 0x2f153bdd0>,<keras.src.callbacks.History object at 0x2f55adbd0>,16,3,adam,0.1,mse,False,0.42981862994954023,0.2850437981204045,1.1493902206420898,49
<keras.src.engine.sequential.Sequential object at 0x2f6c074d0>,<keras.src.callbacks.History object at 0x2f6cab290>,16,3,adam,0.1,mean_absolute_percentage_error,True,-3.451590112433604,0.9803043452528343,1.6630780696868896,84
<keras.src.engine.sequential.Sequential object at 0x2f6c94550>,<keras.src.callbacks.History object at 0x2f802a690>,16,3,adam,0.1,mean_absolute_percentage_error,False,-0.5644616040779507,0.35835526045717536,1.0503239631652832,38
<keras.src.engine.sequential.Sequential object at 0x2f81c3dd0>,<keras.src.callbacks.History object at 0x2f892e550>,16,3,adam,0.01,mean_squared_logarithmic_error,True,-3.4502189809570325,0.9798288529253758,2.718256950378418,174
<keras.src.engine.sequential.Sequential object at 0x2f9e23dd0>,<keras.src.callbacks.History object at 0x2f9c2b5d0>,16,3,adam,0.01,mean_squared_logarithmic_error,False,0.28263854880852257,0.28457688511476775,1.8249900341033936,103
<keras.src.engine.sequential.Sequential object at 0x2f6db5710>,<keras.src.callbacks.History object at 0x2fa190650>,16,3,adam,0.01,mse,True,-3.448222215065292,0.9795912481076057,2.6051769256591797,172
<keras.src.engine.sequential.Sequential object at 0x2fb2fe010>,<keras.src.callbacks.History object at 0x2fb36f450>,16,3,adam,0.01,mse,False,0.3779609413725066,0.2783534507175045,1.9024510383605957,110
<keras.src.engine.sequential.Sequential object at 0x2fbe6bb10>,<keras.src.callbacks.History object at 0x2fcfded50>,16,3,adam,0.01,mean_absolute_percentage_error,True,-3.4508662928778158,0.980025498263245,2.606429100036621,152
<keras.src.engine.sequential.Sequential object at 0x2fd79d050>,<keras.src.callbacks.History object at 0x2fde52810>,16,3,adam,0.01,mean_absolute_percentage_error,False,0.11450119093157429,0.2637261630638167,1.917788028717041,99
<keras.src.engine.sequential.Sequential object at 0x2feea9450>,<keras.src.callbacks.History object at 0x2fe8322d0>,16,3,adam,0.001,mean_squared_logarithmic_error,True,-3.4541091865034046,0.9803760194891281,4.50575590133667,319
<keras.src.engine.sequential.Sequential object at 0x2fea4c490>,<keras.src.callbacks.History object at 0x2ff8f6c90>,16,3,adam,0.001,mean_squared_logarithmic_error,False,0.2267247819944368,0.2555853607906793,7.413831949234009,535
<keras.src.engine.sequential.Sequential object at 0x2fea5bdd0>,<keras.src.callbacks.History object at 0x3022ac1d0>,16,3,adam,0.001,mse,True,-3.455855504957457,0.9805849344841615,2.8237881660461426,173
<keras.src.engine.sequential.Sequential object at 0x302f83dd0>,<keras.src.callbacks.History object at 0x302dbe550>,16,3,adam,0.001,mse,False,0.29961984838834144,0.3511054224675646,3.0651440620422363,199
<keras.src.engine.sequential.Sequential object at 0x303ca00d0>,<keras.src.callbacks.History object at 0x303ddaf90>,16,3,adam,0.001,mean_absolute_percentage_error,True,-3.4577006627328606,0.9807289393533807,3.409876823425293,238
<keras.src.engine.sequential.Sequential object at 0x3053b8ad0>,<keras.src.callbacks.History object at 0x3054d0850>,16,3,adam,0.001,mean_absolute_percentage_error,False,0.15834550838970518,0.24195796607629316,8.223401069641113,528
<keras.src.engine.sequential.Sequential object at 0x306919ad0>,<keras.src.callbacks.History object at 0x3068cea50>,16,3,sgd,0.1,mean_squared_logarithmic_error,True,-3.4554802990761093,0.9805674158631749,3.588844060897827,250
<keras.src.engine.sequential.Sequential object at 0x306f020d0>,<keras.src.callbacks.History object at 0x306f61b90>,16,3,sgd,0.1,mean_squared_logarithmic_error,False,0.14723867336076757,0.33947170039336194,1.8905527591705322,118
<keras.src.engine.sequential.Sequential object at 0x3079b25d0>,<keras.src.callbacks.History object at 0x307a45690>,16,3,sgd,0.1,mse,True,-3.4471195906795122,0.979402300244345,1.825467824935913,91
<keras.src.engine.sequential.Sequential object at 0x306cf0150>,<keras.src.callbacks.History object at 0x308707250>,16,3,sgd,0.1,mse,False,-3.565758818592788,1.0,0.9058260917663574,31
<keras.src.engine.sequential.Sequential object at 0x307b88dd0>,<keras.src.callbacks.History object at 0x309534990>,16,3,sgd,0.1,mean_absolute_percentage_error,True,-3.565758818592788,1.0,0.9834539890289307,31
<keras.src.engine.sequential.Sequential object at 0x3086501d0>,<keras.src.callbacks.History object at 0x30a33f250>,16,3,sgd,0.1,mean_absolute_percentage_error,False,-1.2399747594687986,0.5189040150689257,1.013922929763794,35
<keras.src.engine.sequential.Sequential object at 0x30b68c150>,<keras.src.callbacks.History object at 0x30b6e68d0>,16,3,sgd,0.01,mean_squared_logarithmic_error,True,-3.455748390952471,0.9809299386157573,3.5078558921813965,241
<keras.src.engine.sequential.Sequential object at 0x30bd05a90>,<keras.src.callbacks.History object at 0x30c30eed0>,16,3,sgd,0.01,mean_squared_logarithmic_error,False,0.23373508470800874,0.28918231165576386,7.48845100402832,596
<keras.src.engine.sequential.Sequential object at 0x30e39b650>,<keras.src.callbacks.History object at 0x30e3fd990>,16,3,sgd,0.01,mse,True,-3.4505325439583494,0.9798740955336731,2.607130765914917,179
<keras.src.engine.sequential.Sequential object at 0x30a7f1610>,<keras.src.callbacks.History object at 0x30e859e50>,16,3,sgd,0.01,mse,False,-3.565758818592788,1.0,0.9676768779754639,31
<keras.src.engine.sequential.Sequential object at 0x30eae82d0>,<keras.src.callbacks.History object at 0x30eabf9d0>,16,3,sgd,0.01,mean_absolute_percentage_error,True,-3.451305348029112,0.9796975741288905,1.3650107383728027,59
<keras.src.engine.sequential.Sequential object at 0x30f630b10>,<keras.src.callbacks.History object at 0x3107e4150>,16,3,sgd,0.01,mean_absolute_percentage_error,False,-0.27451333270419864,0.34427097982049204,2.790011167526245,174
<keras.src.engine.sequential.Sequential object at 0x310877fd0>,<keras.src.callbacks.History object at 0x3107b6390>,16,3,sgd,0.001,mean_squared_logarithmic_error,True,-3.4586419422940757,0.9812817438162302,12.51163911819458,995
<keras.src.engine.sequential.Sequential object at 0x311467390>,<keras.src.callbacks.History object at 0x3137af190>,16,3,sgd,0.001,mean_squared_logarithmic_error,False,-0.07530003218079506,0.3542708332760419,31.33132004737854,2642
<keras.src.engine.sequential.Sequential object at 0x3114a8110>,<keras.src.callbacks.History object at 0x31330f9d0>,16,3,sgd,0.001,mse,True,-3.4555392339807467,0.980528417797373,5.861553192138672,439
<keras.src.engine.sequential.Sequential object at 0x31683a250>,<keras.src.callbacks.History object at 0x316a56f50>,16,3,sgd,0.001,mse,False,-3.5217636273690838,0.9910234652308679,0.8969650268554688,31
<keras.src.engine.sequential.Sequential object at 0x316a11650>,<keras.src.callbacks.History object at 0x316c6f850>,16,3,sgd,0.001,mean_absolute_percentage_error,True,-3.448275636820865,0.9791031549292013,1.7798237800598145,100
<keras.src.engine.sequential.Sequential object at 0x316943a10>,<keras.src.callbacks.History object at 0x3182c5d10>,16,3,sgd,0.001,mean_absolute_percentage_error,False,-0.9339870317057479,0.37708823937779223,6.743169069290161,529
<keras.src.engine.sequential.Sequential object at 0x31a34f610>,<keras.src.callbacks.History object at 0x31a3f7d50>,32,1,adam,0.1,mean_squared_logarithmic_error,True,-3.45700420654617,0.9804474380110971,0.9160048961639404,49
<keras.src.engine.sequential.Sequential object at 0x31a3d3dd0>,<keras.src.callbacks.History object at 0x31a0afe90>,32,1,adam,0.1,mean_squared_logarithmic_error,False,0.2865714950568067,0.2880684052121914,1.5084080696105957,98
<keras.src.engine.sequential.Sequential object at 0x3199d1a90>,<keras.src.callbacks.History object at 0x31ad7ae90>,32,1,adam,0.1,mse,True,-3.453681805281982,0.9807036785327711,0.8182919025421143,39
<keras.src.engine.sequential.Sequential object at 0x319c334d0>,<keras.src.callbacks.History object at 0x31a47ff10>,32,1,adam,0.1,mse,False,0.3615904532749653,0.34424104502171365,0.853632926940918,38
<keras.src.engine.sequential.Sequential object at 0x31ad5e950>,<keras.src.callbacks.History object at 0x31aafff10>,32,1,adam,0.1,mean_absolute_percentage_error,True,-3.4495130702197843,0.9800056753939734,1.4523358345031738,97
